Comuna;ID_BARRIO;Barrio;DIRECCION;ESCENARIO;Tipo Espacio;TIPO ESCENENARIO;EQUIPAMIENTO;PROGRAMAS SECRETARIA DE DEPORTE;GRAMA NATURAL;SINTETICA;MULTIPLE;BALONCESTO;VOLEIBOL;PISCINA ADULTOS;PISCINA NI�OS;JUEGOS INFANTILES;BIOSALUDABLES;PISTA PATINAJE;PISTA DE TROTE;PISTA BMX;TENIS;TEJO;HOCKEY;FUTSALA;MICROFUTB;VOLEY PLAYA
6;8;Oasis De Comfandi;K 3BN # 71H - 00;Polideportivo Oasis De Comfandi;Cerrado;POLIDEPORTIVO;Cancha Grama Natural- Cancha De Baloncesto- Juegos Infantiles- Biosaludables- Edificacion- Cancha Sintetica;Deporvida (Futbol)- Cali Integra- Cuerpo Y Espiritu- Canas Y Ganas;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0
6;8;Oasis De Comfandi;K 3N # 70 - 00;Polideportivo Puente De Comercio;Cerrado;POLIDEPORTIVO;Cancha Multiple-  Juegos Infantiles- Pista De Trote- Biosaludables;Cuerpo Y Espiritu- Vive El Parque;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0
6;8;Quintas De Salomia;K 4 # 71-00;Parque Recreativo Quintas De Salomia;Cerrado;PARQUE RECREATIVO;Cancha Multiple- Juegos Infantiles- Biosaludables;No Tiene;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
6;8;Guaduales;K 6N # 71J  - 00;Parque Central Barrio Guaduales;Abierto;PARQUE;Cancha De Baloncesto- Cancha De Futbol 5- Juegos Infantiles;No Tiene;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
6;8;Guaduales;K 9N # 71-35;Unidad Recreativa Guaduales;Cerrado;UNIDAD RECREATIVA;Cancha Grama Natural- Cancha Multiple- Salon Multiple- Piscina Ninos- Piscina Adultos- Pista De Trote- Cancha De Tejo- Edificacion- Gimnasio- Skate Park- Pakour- Pista Bmx- Duchas;Vertigo (Bmx- Skate Board- Parkour)- Deporvida (Natacion)- Canas Y Ganas;1;0;1;0;0;1;1;0;0;0;1;1;0;1;0;0;0;0
6;9;Comfenalco;K  1AN # 83 - 00;Parque Recreativo Comfenalco Uno ( Paisajistico La Ermita);Abierto;PARQUE RECREATIVO;Cancha Multiple- Cancha De Futbol 5- Juegos Infantiles;No Tiene;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
6;9;Comfenalco;K 1AN # 73 - 00;Parque Recreativo Comfenalco Dos (Los Colores);Abierto;PARQUE RECREATIVO;Cancha Multiple- Cancha De Futbol 5- Juegos Infantiles;No Tiene;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
6;9;Petecuy III;K 1D BIS # 77 - 00;Parque El Escondido;Abierto;PARQUE;Cancha Multiple;Canas Y Ganas;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;9;Comfenalco;K 1FN # 77 - 00;Polideportivo La Horqueta Comfenalco;Cerrado;POLIDEPORTIVO;2 Canchas De Grama Natural- Cancha De Baloncesto- Cancha De Futbol 5- Juegos Infantiles;Deporvida (Futsala);2;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
6;9;Petecuy III;K 1G # 77 - 00;Cancha De Futbol Petecuy  III;Cerrado;CANCHA ;Cancha Grama Natural;No Tiene;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;10;Floralia III;C 72A # 3AN - 34;Parque Central Comunal Floralia III;Abierto;PARQUE;Juegos Primera Infancia- Juegos Infantiles- Biosaludables;No Tiene;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
6;10;Floralia III;C 72C # 3BN-51;Unidad Recreativa Floralia (Crp);Cerrado;UNIDAD RECREATIVA;Cancha Grama Natural- Cancha Multiple- Salon Multiple- Cancha Sintetica- Piscina Ninos- Piscina Adultos;Canas Y Ganas;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
